WARN  [2018-04-25 16:31:13,247][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 16:45:36,371][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 16:47:08,521][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 16:51:35,151][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 16:52:34,689][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 17:10:36,072][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 17:12:36,380][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 17:15:48,598][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 17:16:49,396][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 17:18:44,720][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 17:30:12,986][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 17:34:05,090][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-25 17:40:28,435][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
