WARN  [2018-04-28 17:05:51,000][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:09:52,448][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:10:27,618][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:11:07,699][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:13:22,012][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:13:51,317][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:16:36,880][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:20:29,226][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:22:18,470][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:23:45,709][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:24:35,870][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:42:17,072][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:43:27,333][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:44:28,685][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:46:07,336][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:47:37,551][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:55:49,228][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 17:59:29,027][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 18:11:26,306][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 18:11:59,861][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 18:14:25,009][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 18:26:38,391][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 18:30:27,167][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 18:50:40,676][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
WARN  [2018-04-28 18:51:03,942][] org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfiguration:93 - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
